#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
           kiss|  1.94e+08  |2155482765|    193869  |     188893  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.76215133|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.58291805|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.10939807|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.89330412|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.58568646|  PASSED  
        diehard_opso|   0|   2097152|     100|0.62747507|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.49218390|  PASSED  
         diehard_dna|   0|   2097152|     100|0.35716668|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.76864032|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.00288422|   WEAK   
 diehard_parking_lot|   0|     12000|     100|0.38232396|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.79601485|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.30034854|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.70483210|  PASSED  
        diehard_sums|   0|       100|     100|0.10152129|  PASSED  
        diehard_runs|   0|    100000|     100|0.48951451|  PASSED  
        diehard_runs|   0|    100000|     100|0.47625431|  PASSED  
       diehard_craps|   0|    200000|     100|0.43728156|  PASSED  
       diehard_craps|   0|    200000|     100|0.96271349|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.72841616|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.24386332|  PASSED  
         sts_monobit|   1|    100000|     100|0.70224869|  PASSED  
            sts_runs|   2|    100000|     100|0.54083552|  PASSED  
          sts_serial|   1|    100000|     100|0.16204105|  PASSED  
          sts_serial|   2|    100000|     100|0.20283156|  PASSED  
          sts_serial|   3|    100000|     100|0.29322837|  PASSED  
          sts_serial|   3|    100000|     100|0.90576990|  PASSED  
          sts_serial|   4|    100000|     100|0.54554372|  PASSED  
          sts_serial|   4|    100000|     100|0.48301548|  PASSED  
          sts_serial|   5|    100000|     100|0.99876135|   WEAK   
          sts_serial|   5|    100000|     100|0.83601271|  PASSED  
          sts_serial|   6|    100000|     100|0.84279952|  PASSED  
          sts_serial|   6|    100000|     100|0.91616968|  PASSED  
          sts_serial|   7|    100000|     100|0.29725636|  PASSED  
          sts_serial|   7|    100000|     100|0.29488595|  PASSED  
          sts_serial|   8|    100000|     100|0.23589745|  PASSED  
          sts_serial|   8|    100000|     100|0.08593778|  PASSED  
          sts_serial|   9|    100000|     100|0.27879642|  PASSED  
          sts_serial|   9|    100000|     100|0.32191856|  PASSED  
          sts_serial|  10|    100000|     100|0.54769813|  PASSED  
          sts_serial|  10|    100000|     100|0.21369710|  PASSED  
          sts_serial|  11|    100000|     100|0.15740178|  PASSED  
          sts_serial|  11|    100000|     100|0.07551067|  PASSED  
          sts_serial|  12|    100000|     100|0.19382852|  PASSED  
          sts_serial|  12|    100000|     100|0.04880834|  PASSED  
          sts_serial|  13|    100000|     100|0.56743233|  PASSED  
          sts_serial|  13|    100000|     100|0.52983921|  PASSED  
          sts_serial|  14|    100000|     100|0.30587759|  PASSED  
          sts_serial|  14|    100000|     100|0.76010656|  PASSED  
          sts_serial|  15|    100000|     100|0.88614186|  PASSED  
          sts_serial|  15|    100000|     100|0.77776580|  PASSED  
          sts_serial|  16|    100000|     100|0.20887046|  PASSED  
          sts_serial|  16|    100000|     100|0.10979438|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.96177653|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.92134268|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.33047373|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.02288656|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.93853088|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.34500025|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.88195794|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.36314482|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.13084620|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.95306430|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.84703024|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.34382870|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.41732398|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.27167383|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.88187320|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.86705757|  PASSED  
    rgb_permutations|   2|    100000|     100|0.93052892|  PASSED  
    rgb_permutations|   3|    100000|     100|0.16295997|  PASSED  
    rgb_permutations|   4|    100000|     100|0.13816548|  PASSED  
    rgb_permutations|   5|    100000|     100|0.29146180|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.87869805|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.94916594|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.74042267|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.19116055|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.52104371|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.19551995|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.10385346|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.01752823|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.63702472|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.35791274|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.58593833|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.55719645|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.66971043|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.53479224|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.58981880|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.09399051|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.58582066|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.20748031|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.29135719|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.19297851|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.70364653|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.91479820|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.72019312|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.53530681|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.46379731|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.89782859|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.55994859|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.77358945|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.93429559|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.44154078|  PASSED  
