#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
        ranlxd1|  1.34e+07  | 313975884|     13376  |      13471  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.38334809|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.26644784|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.88175989|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.29761994|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.04073264|  PASSED  
        diehard_opso|   0|   2097152|     100|0.27938299|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.48753552|  PASSED  
         diehard_dna|   0|   2097152|     100|0.56288502|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.70014342|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.11716870|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.08995697|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.70387486|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.99924129|   WEAK   
    diehard_3dsphere|   3|      4000|     200|0.26964178|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.97900239|  PASSED  
        diehard_sums|   0|       100|     100|0.05213923|  PASSED  
        diehard_runs|   0|    100000|     100|0.63540490|  PASSED  
        diehard_runs|   0|    100000|     100|0.45211706|  PASSED  
       diehard_craps|   0|    200000|     100|0.68451406|  PASSED  
       diehard_craps|   0|    200000|     100|0.42881524|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.03080768|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.93703164|  PASSED  
         sts_monobit|   1|    100000|     100|0.27034131|  PASSED  
            sts_runs|   2|    100000|     100|0.26449953|  PASSED  
          sts_serial|   1|    100000|     100|0.65120216|  PASSED  
          sts_serial|   2|    100000|     100|0.34340919|  PASSED  
          sts_serial|   3|    100000|     100|0.03522091|  PASSED  
          sts_serial|   3|    100000|     100|0.11851365|  PASSED  
          sts_serial|   4|    100000|     100|0.08470469|  PASSED  
          sts_serial|   4|    100000|     100|0.66714596|  PASSED  
          sts_serial|   5|    100000|     100|0.96539371|  PASSED  
