#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
        ranlxs0|  3.55e+07  |2580353368|     35475  |      35375  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.21837513|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.32877388|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.91472918|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.89639351|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.82736356|  PASSED  
        diehard_opso|   0|   2097152|     100|0.98597130|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.00000000|  FAILED  
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.72396725|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.54787899|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.40502936|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.51110585|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.87784733|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.37338616|  PASSED  
        diehard_sums|   0|       100|     100|0.17021625|  PASSED  
        diehard_runs|   0|    100000|     100|0.48841809|  PASSED  
        diehard_runs|   0|    100000|     100|0.85129417|  PASSED  
       diehard_craps|   0|    200000|     100|0.17665062|  PASSED  
       diehard_craps|   0|    200000|     100|0.19386019|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.20618200|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.48080058|  PASSED  
         sts_monobit|   1|    100000|     100|0.58296066|  PASSED  
            sts_runs|   2|    100000|     100|0.89342566|  PASSED  
          sts_serial|   1|    100000|     100|0.92003296|  PASSED  
          sts_serial|   2|    100000|     100|0.41149690|  PASSED  
          sts_serial|   3|    100000|     100|0.57536140|  PASSED  
          sts_serial|   3|    100000|     100|0.90648938|  PASSED  
          sts_serial|   4|    100000|     100|0.68981406|  PASSED  
          sts_serial|   4|    100000|     100|0.61996131|  PASSED  
          sts_serial|   5|    100000|     100|0.81808121|  PASSED  
          sts_serial|   5|    100000|     100|0.67472841|  PASSED  
          sts_serial|   6|    100000|     100|0.89353260|  PASSED  
          sts_serial|   6|    100000|     100|0.70218967|  PASSED  
          sts_serial|   7|    100000|     100|0.92478833|  PASSED  
          sts_serial|   7|    100000|     100|0.48479115|  PASSED  
          sts_serial|   8|    100000|     100|0.86407074|  PASSED  
          sts_serial|   8|    100000|     100|0.71152138|  PASSED  
          sts_serial|   9|    100000|     100|0.92377424|  PASSED  
          sts_serial|   9|    100000|     100|0.83371988|  PASSED  
          sts_serial|  10|    100000|     100|0.59932256|  PASSED  
          sts_serial|  10|    100000|     100|0.90082798|  PASSED  
          sts_serial|  11|    100000|     100|0.92608121|  PASSED  
          sts_serial|  11|    100000|     100|0.22403676|  PASSED  
          sts_serial|  12|    100000|     100|0.66011308|  PASSED  
          sts_serial|  12|    100000|     100|0.20019278|  PASSED  
          sts_serial|  13|    100000|     100|0.50058445|  PASSED  
          sts_serial|  13|    100000|     100|0.19868660|  PASSED  
          sts_serial|  14|    100000|     100|0.25002791|  PASSED  
          sts_serial|  14|    100000|     100|0.49442440|  PASSED  
          sts_serial|  15|    100000|     100|0.34765976|  PASSED  
          sts_serial|  15|    100000|     100|0.38575636|  PASSED  
          sts_serial|  16|    100000|     100|0.70704591|  PASSED  
          sts_serial|  16|    100000|     100|0.59179568|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.04492970|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.34641332|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.53470264|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.82888042|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.78433910|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.77542243|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.69131697|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.49654692|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.35542165|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.67067179|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.22127402|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.68699025|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.53644156|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.15259371|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.00161741|   WEAK   
rgb_minimum_distance|   5|     10000|    1000|0.70399894|  PASSED  
    rgb_permutations|   2|    100000|     100|0.74927861|  PASSED  
    rgb_permutations|   3|    100000|     100|0.03413703|  PASSED  
    rgb_permutations|   4|    100000|     100|0.21344489|  PASSED  
    rgb_permutations|   5|    100000|     100|0.40924045|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.72044901|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.74506907|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.19562411|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.82360227|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.55448108|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.21249249|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.42146673|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.28550995|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.96087999|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.63968387|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.54715886|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.18848839|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.69920709|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.62148956|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.70177029|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.84678346|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.99864006|   WEAK   
      rgb_lagged_sum|  17|   1000000|     100|0.80162280|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.63619736|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.36129828|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.90923195|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.84508464|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.30040468|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.77468098|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.59996294|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.33198262|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.81397882|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.35022041|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.70638871|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.69956164|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.29144551|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.43376394|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.90282083|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.36696871|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.32768877|  PASSED  
             dab_dct| 256|     50000|       1|0.83962931|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.00000000|  FAILED  
        dab_filltree|  32|  15000000|       1|0.00000000|  FAILED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.60876722|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.39776904|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.19514157|  PASSED  
Preparing to run test 210.  ntuple = 0
