#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
           uvag|  1.85e+08  |3674345673|    184928  |     168279  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.19184694|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.54470640|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.93863209|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.08156582|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.10182964|  PASSED  
        diehard_opso|   0|   2097152|     100|0.73424940|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.00009445|   WEAK   
         diehard_dna|   0|   2097152|     100|0.00032788|   WEAK   
diehard_count_1s_str|   0|    256000|     100|0.86466761|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.28106154|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.01485875|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.29853218|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.84308605|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.01921215|  PASSED  
        diehard_sums|   0|       100|     100|0.61801082|  PASSED  
        diehard_runs|   0|    100000|     100|0.36683715|  PASSED  
        diehard_runs|   0|    100000|     100|0.39100881|  PASSED  
       diehard_craps|   0|    200000|     100|0.71930472|  PASSED  
       diehard_craps|   0|    200000|     100|0.52136048|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.41534708|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.69115171|  PASSED  
         sts_monobit|   1|    100000|     100|0.37089981|  PASSED  
            sts_runs|   2|    100000|     100|0.03840088|  PASSED  
          sts_serial|   1|    100000|     100|0.33906327|  PASSED  
          sts_serial|   2|    100000|     100|0.41720509|  PASSED  
          sts_serial|   3|    100000|     100|0.68986552|  PASSED  
          sts_serial|   3|    100000|     100|0.74919070|  PASSED  
