#=============================================================================#
#            dieharder version 3.31.2 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
   xoshiro256++|  2.67e+08  | 921572198|    267051  |     250344  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.81346408|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.28442122|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.30401173|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.45282789|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.88380248|  PASSED  
        diehard_opso|   0|   2097152|     100|0.99256038|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.42676152|  PASSED  
         diehard_dna|   0|   2097152|     100|0.75998519|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.18758507|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.99982950|   WEAK   
 diehard_parking_lot|   0|     12000|     100|0.10511838|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.62986546|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.64759600|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.22923929|  PASSED  
        diehard_sums|   0|       100|     100|0.04155909|  PASSED  
        diehard_runs|   0|    100000|     100|0.68796599|  PASSED  
        diehard_runs|   0|    100000|     100|0.58765438|  PASSED  
       diehard_craps|   0|    200000|     100|0.84039348|  PASSED  
       diehard_craps|   0|    200000|     100|0.27553483|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.35116165|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.27872293|  PASSED  
         sts_monobit|   1|    100000|     100|0.32582050|  PASSED  
            sts_runs|   2|    100000|     100|0.58348151|  PASSED  
          sts_serial|   1|    100000|     100|0.34188788|  PASSED  
          sts_serial|   2|    100000|     100|0.03683436|  PASSED  
          sts_serial|   3|    100000|     100|0.04296311|  PASSED  
          sts_serial|   3|    100000|     100|0.41483760|  PASSED  
          sts_serial|   4|    100000|     100|0.87933166|  PASSED  
          sts_serial|   4|    100000|     100|0.08945140|  PASSED  
          sts_serial|   5|    100000|     100|0.99992820|   WEAK   
          sts_serial|   5|    100000|     100|0.48724675|  PASSED  
          sts_serial|   6|    100000|     100|0.82566730|  PASSED  
          sts_serial|   6|    100000|     100|0.91164667|  PASSED  
          sts_serial|   7|    100000|     100|0.15833840|  PASSED  
          sts_serial|   7|    100000|     100|0.33199848|  PASSED  
          sts_serial|   8|    100000|     100|0.60558045|  PASSED  
          sts_serial|   8|    100000|     100|0.60277940|  PASSED  
          sts_serial|   9|    100000|     100|0.32609852|  PASSED  
          sts_serial|   9|    100000|     100|0.33520889|  PASSED  
          sts_serial|  10|    100000|     100|0.31098930|  PASSED  
          sts_serial|  10|    100000|     100|0.26174915|  PASSED  
          sts_serial|  11|    100000|     100|0.50561682|  PASSED  
          sts_serial|  11|    100000|     100|0.58398867|  PASSED  
          sts_serial|  12|    100000|     100|0.16916093|  PASSED  
          sts_serial|  12|    100000|     100|0.44557411|  PASSED  
          sts_serial|  13|    100000|     100|0.11824721|  PASSED  
          sts_serial|  13|    100000|     100|0.08214228|  PASSED  
          sts_serial|  14|    100000|     100|0.87052747|  PASSED  
          sts_serial|  14|    100000|     100|0.47091784|  PASSED  
          sts_serial|  15|    100000|     100|0.99528983|   WEAK   
          sts_serial|  15|    100000|     100|0.71737512|  PASSED  
          sts_serial|  16|    100000|     100|0.26147060|  PASSED  
          sts_serial|  16|    100000|     100|0.20312871|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.59760647|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.44779065|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.91672026|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.92515001|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.67316344|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.68456553|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.27097438|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.98284746|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.18850852|  PASSED  
