#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
          aesni|  9.63e+07  |3301581415|     96292  |     100698  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.11237468|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.97068668|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.97910989|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.73262174|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.39089169|  PASSED  
        diehard_opso|   0|   2097152|     100|0.35465640|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.77809577|  PASSED  
         diehard_dna|   0|   2097152|     100|0.90755661|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.74044906|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.67672784|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.50512183|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.22371848|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.62821882|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.54367856|  PASSED  
        diehard_sums|   0|       100|     100|0.10329757|  PASSED  
        diehard_runs|   0|    100000|     100|0.89742837|  PASSED  
        diehard_runs|   0|    100000|     100|0.04659796|  PASSED  
       diehard_craps|   0|    200000|     100|0.86132193|  PASSED  
       diehard_craps|   0|    200000|     100|0.50100922|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.47581210|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.84074409|  PASSED  
         sts_monobit|   1|    100000|     100|0.41146220|  PASSED  
            sts_runs|   2|    100000|     100|0.26790079|  PASSED  
          sts_serial|   1|    100000|     100|0.09036167|  PASSED  
          sts_serial|   2|    100000|     100|0.75861766|  PASSED  
          sts_serial|   3|    100000|     100|0.98809176|  PASSED  
          sts_serial|   3|    100000|     100|0.34605501|  PASSED  
          sts_serial|   4|    100000|     100|0.58331202|  PASSED  
          sts_serial|   4|    100000|     100|0.29006519|  PASSED  
          sts_serial|   5|    100000|     100|0.07478029|  PASSED  
          sts_serial|   5|    100000|     100|0.02311577|  PASSED  
          sts_serial|   6|    100000|     100|0.10234466|  PASSED  
          sts_serial|   6|    100000|     100|0.33267585|  PASSED  
          sts_serial|   7|    100000|     100|0.73478928|  PASSED  
          sts_serial|   7|    100000|     100|0.19672623|  PASSED  
          sts_serial|   8|    100000|     100|0.85008318|  PASSED  
          sts_serial|   8|    100000|     100|0.77520217|  PASSED  
          sts_serial|   9|    100000|     100|0.27453383|  PASSED  
          sts_serial|   9|    100000|     100|0.01874380|  PASSED  
          sts_serial|  10|    100000|     100|0.21465028|  PASSED  
          sts_serial|  10|    100000|     100|0.59545983|  PASSED  
          sts_serial|  11|    100000|     100|0.15095233|  PASSED  
          sts_serial|  11|    100000|     100|0.19464372|  PASSED  
          sts_serial|  12|    100000|     100|0.55776716|  PASSED  
          sts_serial|  12|    100000|     100|0.62685667|  PASSED  
          sts_serial|  13|    100000|     100|0.19538663|  PASSED  
          sts_serial|  13|    100000|     100|0.64222400|  PASSED  
          sts_serial|  14|    100000|     100|0.38850968|  PASSED  
          sts_serial|  14|    100000|     100|0.59680034|  PASSED  
          sts_serial|  15|    100000|     100|0.91639303|  PASSED  
          sts_serial|  15|    100000|     100|0.26954241|  PASSED  
          sts_serial|  16|    100000|     100|0.09885727|  PASSED  
          sts_serial|  16|    100000|     100|0.22480793|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.97481385|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.84120610|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.22931307|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.57726034|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.91294773|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.91632874|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.06130562|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.47710773|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.69312615|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.79439533|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.40759275|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.86291728|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.32662619|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.81804950|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.81195975|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.01978258|  PASSED  
    rgb_permutations|   2|    100000|     100|0.42240063|  PASSED  
    rgb_permutations|   3|    100000|     100|0.30705579|  PASSED  
    rgb_permutations|   4|    100000|     100|0.83964932|  PASSED  
    rgb_permutations|   5|    100000|     100|0.45965715|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.99622990|   WEAK   
      rgb_lagged_sum|   0|   1000000|     200|0.99449708|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.74973323|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.48544437|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.69053490|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.61327342|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.58879056|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.89190049|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.00959517|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.59547930|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.07371345|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.67000295|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.29295636|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.55405713|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.50608476|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.19871403|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.03852238|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.64396033|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.94387806|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.72301878|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.97571533|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.00250727|   WEAK   
      rgb_lagged_sum|  20|   1000000|     200|0.00203219|   WEAK   
      rgb_lagged_sum|  20|   1000000|     300|0.43447975|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.01734100|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.43362687|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.49446275|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.93000239|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.15414286|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.54486800|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.47690049|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.12841654|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.98367335|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.94511116|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.97560510|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.89561981|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.62821132|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.63255134|  PASSED  
             dab_dct| 256|     50000|       1|0.76158434|  PASSED  
Skipping test 207
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.20188687|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.31741769|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.66844097|  PASSED  
Preparing to run test 210.  ntuple = 0
