#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
            uni|  2.54e+08  |2017461790|    253646  |     243439  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|1.00000000|  FAILED  
      diehard_operm5|   0|   1000000|     100|0.24097419|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.28358627|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.00890867|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.23663158|  PASSED  
        diehard_opso|   0|   2097152|     100|0.00000000|  FAILED  
        diehard_oqso|   0|   2097152|     100|0.00000000|  FAILED  
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.24049264|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.23753171|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.33862926|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.04981218|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.29332035|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.00000000|  FAILED  
        diehard_sums|   0|       100|     100|0.14693509|  PASSED  
        diehard_runs|   0|    100000|     100|0.99181700|  PASSED  
        diehard_runs|   0|    100000|     100|0.38546471|  PASSED  
       diehard_craps|   0|    200000|     100|0.79080355|  PASSED  
       diehard_craps|   0|    200000|     100|0.53460270|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.94555015|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.95312705|  PASSED  
         sts_monobit|   1|    100000|     100|0.50809956|  PASSED  
            sts_runs|   2|    100000|     100|0.16917050|  PASSED  
          sts_serial|   1|    100000|     100|0.28660618|  PASSED  
          sts_serial|   2|    100000|     100|0.93632175|  PASSED  
          sts_serial|   3|    100000|     100|0.45979911|  PASSED  
          sts_serial|   3|    100000|     100|0.35049649|  PASSED  
          sts_serial|   4|    100000|     100|0.99613990|   WEAK   
          sts_serial|   4|    100000|     100|0.48984367|  PASSED  
          sts_serial|   5|    100000|     100|0.80508153|  PASSED  
          sts_serial|   5|    100000|     100|0.97076445|  PASSED  
          sts_serial|   6|    100000|     100|0.42799892|  PASSED  
          sts_serial|   6|    100000|     100|0.77463281|  PASSED  
          sts_serial|   7|    100000|     100|0.72444436|  PASSED  
          sts_serial|   7|    100000|     100|0.97149348|  PASSED  
          sts_serial|   8|    100000|     100|0.51742139|  PASSED  
          sts_serial|   8|    100000|     100|0.71403603|  PASSED  
          sts_serial|   9|    100000|     100|0.14456896|  PASSED  
          sts_serial|   9|    100000|     100|0.14049931|  PASSED  
          sts_serial|  10|    100000|     100|0.73874683|  PASSED  
          sts_serial|  10|    100000|     100|0.94616830|  PASSED  
          sts_serial|  11|    100000|     100|0.24980631|  PASSED  
          sts_serial|  11|    100000|     100|0.03814199|  PASSED  
          sts_serial|  12|    100000|     100|0.16116545|  PASSED  
          sts_serial|  12|    100000|     100|0.58501826|  PASSED  
          sts_serial|  13|    100000|     100|0.79514142|  PASSED  
          sts_serial|  13|    100000|     100|0.70978770|  PASSED  
          sts_serial|  14|    100000|     100|0.57731251|  PASSED  
          sts_serial|  14|    100000|     100|0.94971715|  PASSED  
          sts_serial|  15|    100000|     100|0.21202979|  PASSED  
          sts_serial|  15|    100000|     100|0.62241815|  PASSED  
          sts_serial|  16|    100000|     100|0.67050810|  PASSED  
          sts_serial|  16|    100000|     100|0.92438980|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.80237158|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.27976043|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.64024404|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.98801656|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.98286622|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.26746638|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.27452346|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.65591973|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.79818258|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.12186853|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.75927013|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.06054091|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.00000000|  FAILED  
rgb_minimum_distance|   3|     10000|    1000|0.93106365|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.65090269|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.25623363|  PASSED  
    rgb_permutations|   2|    100000|     100|0.69574435|  PASSED  
    rgb_permutations|   3|    100000|     100|0.94641032|  PASSED  
    rgb_permutations|   4|    100000|     100|0.95093333|  PASSED  
    rgb_permutations|   5|    100000|     100|0.43391219|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.26268265|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.19315009|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.30035629|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.43379588|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.78504544|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.28616781|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.88833232|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.03368790|  PASSED  
