#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
random128-glibc2|  2.47e+08  |4167165547|    246609  |     248799  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.48601238|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.09497329|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.32685577|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.68070378|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.82511656|  PASSED  
        diehard_opso|   0|   2097152|     100|0.62885599|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.74381228|  PASSED  
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.40809191|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.84498284|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.01880397|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.85572471|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.86030613|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.00000000|  FAILED  
        diehard_sums|   0|       100|     100|0.08151048|  PASSED  
        diehard_runs|   0|    100000|     100|0.95168285|  PASSED  
        diehard_runs|   0|    100000|     100|0.16731968|  PASSED  
       diehard_craps|   0|    200000|     100|0.85179499|  PASSED  
       diehard_craps|   0|    200000|     100|0.79864308|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.90438276|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.17908435|  PASSED  
         sts_monobit|   1|    100000|     100|0.24680330|  PASSED  
            sts_runs|   2|    100000|     100|0.24717580|  PASSED  
          sts_serial|   1|    100000|     100|0.73564436|  PASSED  
          sts_serial|   2|    100000|     100|0.22633488|  PASSED  
          sts_serial|   3|    100000|     100|0.32876532|  PASSED  
          sts_serial|   3|    100000|     100|0.88311429|  PASSED  
          sts_serial|   4|    100000|     100|0.97134123|  PASSED  
          sts_serial|   4|    100000|     100|0.24687106|  PASSED  
          sts_serial|   5|    100000|     100|0.99288325|  PASSED  
          sts_serial|   5|    100000|     100|0.63134472|  PASSED  
          sts_serial|   6|    100000|     100|0.88987077|  PASSED  
          sts_serial|   6|    100000|     100|0.99041007|  PASSED  
          sts_serial|   7|    100000|     100|0.40059677|  PASSED  
          sts_serial|   7|    100000|     100|0.09711084|  PASSED  
          sts_serial|   8|    100000|     100|0.59527998|  PASSED  
          sts_serial|   8|    100000|     100|0.65267189|  PASSED  
          sts_serial|   9|    100000|     100|0.06539881|  PASSED  
          sts_serial|   9|    100000|     100|0.48184697|  PASSED  
          sts_serial|  10|    100000|     100|0.29644666|  PASSED  
