32 rounds
#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
      speck-128|  7.10e+07  |1011362663|     71016  |      65738  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.99939613|   WEAK   
   diehard_birthdays|   0|       100|     200|0.51227442|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.00542187|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.05124425|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.12248094|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.23683016|  PASSED  
        diehard_opso|   0|   2097152|     100|0.92740979|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.34201321|  PASSED  
         diehard_dna|   0|   2097152|     100|0.61154899|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.55954256|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.65663705|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.87630056|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.91069464|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.44878229|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.58130395|  PASSED  
        diehard_sums|   0|       100|     100|0.21883443|  PASSED  
        diehard_runs|   0|    100000|     100|0.09336518|  PASSED  
        diehard_runs|   0|    100000|     100|0.45380699|  PASSED  
       diehard_craps|   0|    200000|     100|0.94185205|  PASSED  
       diehard_craps|   0|    200000|     100|0.91053161|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.97476613|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.79023497|  PASSED  
         sts_monobit|   1|    100000|     100|0.22660377|  PASSED  
            sts_runs|   2|    100000|     100|0.45271222|  PASSED  
          sts_serial|   1|    100000|     100|0.85047827|  PASSED  
          sts_serial|   2|    100000|     100|0.70890922|  PASSED  
          sts_serial|   3|    100000|     100|0.88613135|  PASSED  
          sts_serial|   3|    100000|     100|0.99710036|   WEAK   
          sts_serial|   4|    100000|     100|0.91747714|  PASSED  
          sts_serial|   4|    100000|     100|0.97462726|  PASSED  
          sts_serial|   5|    100000|     100|0.62847925|  PASSED  
          sts_serial|   5|    100000|     100|0.15360953|  PASSED  
          sts_serial|   6|    100000|     100|0.18414666|  PASSED  
          sts_serial|   6|    100000|     100|0.25145123|  PASSED  
          sts_serial|   7|    100000|     100|0.52393079|  PASSED  
          sts_serial|   7|    100000|     100|0.66810836|  PASSED  
          sts_serial|   8|    100000|     100|0.10536587|  PASSED  
          sts_serial|   8|    100000|     100|0.11572065|  PASSED  
          sts_serial|   9|    100000|     100|0.27587868|  PASSED  
          sts_serial|   9|    100000|     100|0.68131027|  PASSED  
          sts_serial|  10|    100000|     100|0.10826705|  PASSED  
          sts_serial|  10|    100000|     100|0.65218549|  PASSED  
          sts_serial|  11|    100000|     100|0.24696821|  PASSED  
          sts_serial|  11|    100000|     100|0.43328092|  PASSED  
          sts_serial|  12|    100000|     100|0.64597967|  PASSED  
