#=============================================================================#
#            dieharder version 3.31.2 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
  xoroshiro128+|  2.51e+08  |1747723874|    250752  |     257546  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.96544339|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.10294544|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.11867959|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.94803038|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.68113481|  PASSED  
        diehard_opso|   0|   2097152|     100|0.60364668|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.47248670|  PASSED  
         diehard_dna|   0|   2097152|     100|0.42940011|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.84116720|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.75626657|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.01954530|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.99278766|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.07028254|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.93106984|  PASSED  
        diehard_sums|   0|       100|     100|0.08822264|  PASSED  
        diehard_runs|   0|    100000|     100|0.40510548|  PASSED  
        diehard_runs|   0|    100000|     100|0.72321857|  PASSED  
       diehard_craps|   0|    200000|     100|0.68422829|  PASSED  
       diehard_craps|   0|    200000|     100|0.05229066|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.94722283|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.99604621|   WEAK   
         sts_monobit|   1|    100000|     100|0.68706989|  PASSED  
            sts_runs|   2|    100000|     100|0.91832577|  PASSED  
          sts_serial|   1|    100000|     100|0.08474285|  PASSED  
          sts_serial|   2|    100000|     100|0.89085146|  PASSED  
          sts_serial|   3|    100000|     100|0.08623186|  PASSED  
          sts_serial|   3|    100000|     100|0.06360421|  PASSED  
          sts_serial|   4|    100000|     100|0.01779656|  PASSED  
          sts_serial|   4|    100000|     100|0.30014776|  PASSED  
          sts_serial|   5|    100000|     100|0.06035456|  PASSED  
          sts_serial|   5|    100000|     100|0.89012616|  PASSED  
          sts_serial|   6|    100000|     100|0.07433775|  PASSED  
          sts_serial|   6|    100000|     100|0.66250008|  PASSED  
          sts_serial|   7|    100000|     100|0.25033273|  PASSED  
          sts_serial|   7|    100000|     100|0.69622406|  PASSED  
          sts_serial|   8|    100000|     100|0.42784840|  PASSED  
          sts_serial|   8|    100000|     100|0.94117495|  PASSED  
          sts_serial|   9|    100000|     100|0.99231317|  PASSED  
          sts_serial|   9|    100000|     100|0.26387535|  PASSED  
          sts_serial|  10|    100000|     100|0.20600773|  PASSED  
          sts_serial|  10|    100000|     100|0.90948509|  PASSED  
          sts_serial|  11|    100000|     100|0.41619872|  PASSED  
          sts_serial|  11|    100000|     100|0.47313120|  PASSED  
          sts_serial|  12|    100000|     100|0.04861055|  PASSED  
          sts_serial|  12|    100000|     100|0.04848476|  PASSED  
          sts_serial|  13|    100000|     100|0.08062773|  PASSED  
          sts_serial|  13|    100000|     100|0.73001867|  PASSED  
          sts_serial|  14|    100000|     100|0.23435416|  PASSED  
          sts_serial|  14|    100000|     100|0.83332490|  PASSED  
          sts_serial|  15|    100000|     100|0.36814951|  PASSED  
          sts_serial|  15|    100000|     100|0.32616884|  PASSED  
          sts_serial|  16|    100000|     100|0.15278360|  PASSED  
          sts_serial|  16|    100000|     100|0.99250845|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.38281873|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.67726087|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.63034847|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.94184778|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.87754234|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.18179325|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.85435853|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.55863353|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.88564245|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.94243777|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.69829140|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.23983846|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.81570641|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.25434149|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.05110538|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.14423846|  PASSED  
    rgb_permutations|   2|    100000|     100|0.75252272|  PASSED  
    rgb_permutations|   3|    100000|     100|0.98557202|  PASSED  
    rgb_permutations|   4|    100000|     100|0.28679400|  PASSED  
    rgb_permutations|   5|    100000|     100|0.95849164|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.84673474|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.29632017|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.17650332|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.03483897|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.92017529|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.22520615|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.68275364|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.59575765|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.88951080|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.91350271|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.31754991|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.82536790|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.55158232|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.61772093|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.97143254|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.83139771|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.86401223|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.13610590|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.23794289|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.34984687|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.93525152|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.61515286|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.19252108|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.55624763|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.11976674|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.81605391|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.27946000|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.04761709|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.25099998|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.72107638|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.53574278|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.96722631|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.45846009|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.01512519|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.27592592|  PASSED  
             dab_dct| 256|     50000|       1|0.85566766|  PASSED  
Preparing to run test 207.  ntuple = 0
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.34380272|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.55816032|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.62251466|  PASSED  
Preparing to run test 210.  ntuple = 0
