#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
           sfmt|  2.58e+08  |3603322440|    257512  |     224290  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.75050644|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.35105033|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.27506850|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.07332303|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.97606677|  PASSED  
        diehard_opso|   0|   2097152|     100|0.36965490|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.36624898|  PASSED  
         diehard_dna|   0|   2097152|     100|0.57519977|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.91142680|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.65962980|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.77995133|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.82404452|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.80764916|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.61060997|  PASSED  
        diehard_sums|   0|       100|     100|0.00002252|   WEAK   
        diehard_sums|   0|       100|     200|0.00319731|   WEAK   
        diehard_sums|   0|       100|     300|0.00153928|   WEAK   
        diehard_sums|   0|       100|     400|0.00082486|   WEAK   
        diehard_sums|   0|       100|     500|0.00001973|   WEAK   
        diehard_sums|   0|       100|     600|0.00003074|   WEAK   
        diehard_sums|   0|       100|     700|0.00000190|   WEAK   
        diehard_sums|   0|       100|     800|0.00000048|  FAILED  
        diehard_runs|   0|    100000|     100|0.44997432|  PASSED  
        diehard_runs|   0|    100000|     100|0.66772295|  PASSED  
       diehard_craps|   0|    200000|     100|0.33112548|  PASSED  
       diehard_craps|   0|    200000|     100|0.89516255|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.94053659|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.29384643|  PASSED  
         sts_monobit|   1|    100000|     100|0.52085162|  PASSED  
            sts_runs|   2|    100000|     100|0.99735595|   WEAK   
            sts_runs|   2|    100000|     200|0.93234604|  PASSED  
          sts_serial|   1|    100000|     100|0.79285303|  PASSED  
          sts_serial|   2|    100000|     100|0.71718706|  PASSED  
          sts_serial|   3|    100000|     100|0.91425818|  PASSED  
