#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
     splitmix64|  3.02e+08  | 924350202|    301914  |     311439  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.72492068|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.49278242|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.09617797|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.20891383|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.45129517|  PASSED  
        diehard_opso|   0|   2097152|     100|0.46045998|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.66750314|  PASSED  
         diehard_dna|   0|   2097152|     100|0.64102424|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.68357007|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.99408653|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.13699196|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.97856428|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.18859066|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.45385829|  PASSED  
        diehard_sums|   0|       100|     100|0.08795894|  PASSED  
        diehard_runs|   0|    100000|     100|0.29525055|  PASSED  
        diehard_runs|   0|    100000|     100|0.80474529|  PASSED  
       diehard_craps|   0|    200000|     100|0.43381161|  PASSED  
       diehard_craps|   0|    200000|     100|0.90442306|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.74340633|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.51657348|  PASSED  
         sts_monobit|   1|    100000|     100|0.98773571|  PASSED  
            sts_runs|   2|    100000|     100|0.28288309|  PASSED  
          sts_serial|   1|    100000|     100|0.17588599|  PASSED  
          sts_serial|   2|    100000|     100|0.41168845|  PASSED  
          sts_serial|   3|    100000|     100|0.30532544|  PASSED  
          sts_serial|   3|    100000|     100|0.36478463|  PASSED  
          sts_serial|   4|    100000|     100|0.06528727|  PASSED  
          sts_serial|   4|    100000|     100|0.20328736|  PASSED  
          sts_serial|   5|    100000|     100|0.13031527|  PASSED  
          sts_serial|   5|    100000|     100|0.73130467|  PASSED  
          sts_serial|   6|    100000|     100|0.12876599|  PASSED  
          sts_serial|   6|    100000|     100|0.88171928|  PASSED  
          sts_serial|   7|    100000|     100|0.36490801|  PASSED  
          sts_serial|   7|    100000|     100|0.92504581|  PASSED  
          sts_serial|   8|    100000|     100|0.90886716|  PASSED  
          sts_serial|   8|    100000|     100|0.89135757|  PASSED  
          sts_serial|   9|    100000|     100|0.14329648|  PASSED  
          sts_serial|   9|    100000|     100|0.02715875|  PASSED  
          sts_serial|  10|    100000|     100|0.41266086|  PASSED  
          sts_serial|  10|    100000|     100|0.38984846|  PASSED  
          sts_serial|  11|    100000|     100|0.90829635|  PASSED  
          sts_serial|  11|    100000|     100|0.27303234|  PASSED  
          sts_serial|  12|    100000|     100|0.91471713|  PASSED  
          sts_serial|  12|    100000|     100|0.76564136|  PASSED  
          sts_serial|  13|    100000|     100|0.24328642|  PASSED  
          sts_serial|  13|    100000|     100|0.75984411|  PASSED  
          sts_serial|  14|    100000|     100|0.37983619|  PASSED  
          sts_serial|  14|    100000|     100|0.91414586|  PASSED  
          sts_serial|  15|    100000|     100|0.28011078|  PASSED  
          sts_serial|  15|    100000|     100|0.94206807|  PASSED  
          sts_serial|  16|    100000|     100|0.70244520|  PASSED  
          sts_serial|  16|    100000|     100|0.05083381|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.99155501|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.91090771|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.74671176|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.91995974|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.22640907|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.34657954|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.91523744|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.84105733|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.52820309|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.67464133|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.66905443|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.61388442|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.96221229|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.58498972|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.98289747|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.82805960|  PASSED  
    rgb_permutations|   2|    100000|     100|0.40798743|  PASSED  
    rgb_permutations|   3|    100000|     100|0.56394650|  PASSED  
    rgb_permutations|   4|    100000|     100|0.94467168|  PASSED  
    rgb_permutations|   5|    100000|     100|0.78890164|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.89319533|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.32656623|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.54808503|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.82575173|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.80353899|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.23964986|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.81073030|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.97874980|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.84701496|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.50085921|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.85359029|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.24648146|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.49509771|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.49979738|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.28116993|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.68116397|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.63717166|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.98542050|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.87755497|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.67591284|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.79401301|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.32800872|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.64895635|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.35175341|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.24826733|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.16160330|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.85540883|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.03004049|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.27739088|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.76507822|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.85815826|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.62111621|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.58599944|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.00047947|   WEAK   
