#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
         ranmar|  2.57e+08  |3142699843|    256910  |     114092  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.52235252|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.39641873|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.85528696|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.87369206|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.89657852|  PASSED  
        diehard_opso|   0|   2097152|     100|0.99500547|   WEAK   
        diehard_oqso|   0|   2097152|     100|0.00000000|  FAILED  
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.54246336|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.51630644|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.79252967|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.71002241|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.82387589|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.35672757|  PASSED  
        diehard_sums|   0|       100|     100|0.24586821|  PASSED  
        diehard_runs|   0|    100000|     100|0.96830751|  PASSED  
        diehard_runs|   0|    100000|     100|0.73513370|  PASSED  
       diehard_craps|   0|    200000|     100|0.63517363|  PASSED  
       diehard_craps|   0|    200000|     100|0.95510966|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.83260749|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.76291757|  PASSED  
         sts_monobit|   1|    100000|     100|0.30586017|  PASSED  
            sts_runs|   2|    100000|     100|0.17387630|  PASSED  
          sts_serial|   1|    100000|     100|0.94966439|  PASSED  
          sts_serial|   2|    100000|     100|0.51087268|  PASSED  
          sts_serial|   3|    100000|     100|0.14662751|  PASSED  
          sts_serial|   3|    100000|     100|0.40473919|  PASSED  
          sts_serial|   4|    100000|     100|0.05470744|  PASSED  
          sts_serial|   4|    100000|     100|0.74805108|  PASSED  
          sts_serial|   5|    100000|     100|0.68567138|  PASSED  
          sts_serial|   5|    100000|     100|0.41698664|  PASSED  
          sts_serial|   6|    100000|     100|0.76953181|  PASSED  
          sts_serial|   6|    100000|     100|0.38905794|  PASSED  
          sts_serial|   7|    100000|     100|0.66832983|  PASSED  
          sts_serial|   7|    100000|     100|0.68527052|  PASSED  
          sts_serial|   8|    100000|     100|0.25486875|  PASSED  
          sts_serial|   8|    100000|     100|0.01050234|  PASSED  
          sts_serial|   9|    100000|     100|0.87952120|  PASSED  
          sts_serial|   9|    100000|     100|0.96583026|  PASSED  
          sts_serial|  10|    100000|     100|0.28769358|  PASSED  
          sts_serial|  10|    100000|     100|0.55428231|  PASSED  
          sts_serial|  11|    100000|     100|0.49154454|  PASSED  
          sts_serial|  11|    100000|     100|0.97372916|  PASSED  
          sts_serial|  12|    100000|     100|0.39626779|  PASSED  
          sts_serial|  12|    100000|     100|0.07218943|  PASSED  
          sts_serial|  13|    100000|     100|0.02393972|  PASSED  
          sts_serial|  13|    100000|     100|0.00440652|   WEAK   
          sts_serial|  14|    100000|     100|0.05551682|  PASSED  
          sts_serial|  14|    100000|     100|0.66524432|  PASSED  
          sts_serial|  15|    100000|     100|0.63144888|  PASSED  
          sts_serial|  15|    100000|     100|0.97927322|  PASSED  
          sts_serial|  16|    100000|     100|0.43232876|  PASSED  
