#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
       romutrio|  2.75e+08  | 219673919|    275307  |     286574  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.88796628|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.96570307|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.69937113|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.32867591|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.90406110|  PASSED  
        diehard_opso|   0|   2097152|     100|0.40136715|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.51851557|  PASSED  
         diehard_dna|   0|   2097152|     100|0.07109611|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.61816764|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.52274931|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.83744977|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.25400197|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.38646117|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.60200658|  PASSED  
        diehard_sums|   0|       100|     100|0.98634821|  PASSED  
        diehard_runs|   0|    100000|     100|0.97669531|  PASSED  
        diehard_runs|   0|    100000|     100|0.82762501|  PASSED  
       diehard_craps|   0|    200000|     100|0.45181427|  PASSED  
       diehard_craps|   0|    200000|     100|0.97756379|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.88024244|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.77477210|  PASSED  
         sts_monobit|   1|    100000|     100|0.06359201|  PASSED  
            sts_runs|   2|    100000|     100|0.95340229|  PASSED  
          sts_serial|   1|    100000|     100|0.20324739|  PASSED  
          sts_serial|   2|    100000|     100|0.80648979|  PASSED  
          sts_serial|   3|    100000|     100|0.13847233|  PASSED  
          sts_serial|   3|    100000|     100|0.18959283|  PASSED  
          sts_serial|   4|    100000|     100|0.38223839|  PASSED  
          sts_serial|   4|    100000|     100|0.75235701|  PASSED  
          sts_serial|   5|    100000|     100|0.66085551|  PASSED  
          sts_serial|   5|    100000|     100|0.22853187|  PASSED  
          sts_serial|   6|    100000|     100|0.61221769|  PASSED  
          sts_serial|   6|    100000|     100|0.15690846|  PASSED  
          sts_serial|   7|    100000|     100|0.58150729|  PASSED  
          sts_serial|   7|    100000|     100|0.21563086|  PASSED  
          sts_serial|   8|    100000|     100|0.78999692|  PASSED  
          sts_serial|   8|    100000|     100|0.96055864|  PASSED  
          sts_serial|   9|    100000|     100|0.36977648|  PASSED  
          sts_serial|   9|    100000|     100|0.41211113|  PASSED  
          sts_serial|  10|    100000|     100|0.58760391|  PASSED  
          sts_serial|  10|    100000|     100|0.61585801|  PASSED  
          sts_serial|  11|    100000|     100|0.57060791|  PASSED  
          sts_serial|  11|    100000|     100|0.27185654|  PASSED  
          sts_serial|  12|    100000|     100|0.18231813|  PASSED  
          sts_serial|  12|    100000|     100|0.32327093|  PASSED  
          sts_serial|  13|    100000|     100|0.37199814|  PASSED  
          sts_serial|  13|    100000|     100|0.05094027|  PASSED  
          sts_serial|  14|    100000|     100|0.64012138|  PASSED  
          sts_serial|  14|    100000|     100|0.57240012|  PASSED  
          sts_serial|  15|    100000|     100|0.60854488|  PASSED  
          sts_serial|  15|    100000|     100|0.16539117|  PASSED  
          sts_serial|  16|    100000|     100|0.75389219|  PASSED  
          sts_serial|  16|    100000|     100|0.63995880|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.65495228|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.69899982|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.46838371|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.52663382|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.06749705|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.36376166|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.48978105|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.93601199|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.43912226|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.96776427|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.58569113|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.52975317|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.70222586|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.20150191|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.01399837|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.98196424|  PASSED  
    rgb_permutations|   2|    100000|     100|0.03479140|  PASSED  
    rgb_permutations|   3|    100000|     100|0.99033452|  PASSED  
    rgb_permutations|   4|    100000|     100|0.79251259|  PASSED  
    rgb_permutations|   5|    100000|     100|0.87666030|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.88041107|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.55831255|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.26192050|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.98413707|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.60126131|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.99388902|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.27087884|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.95263711|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.54852303|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.92814841|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.96993575|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.19507144|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.51209927|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.19904005|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.55257810|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.94705025|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.13426470|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.99284360|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.91815061|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.00320076|   WEAK   
      rgb_lagged_sum|  19|   1000000|     200|0.00929014|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.17425445|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.93936932|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.23002458|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.24427691|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.40469308|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.90484203|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.98734892|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.70707454|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.85977778|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.46044743|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.67405674|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.13378363|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.42170807|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.89076138|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.37894564|  PASSED  
             dab_dct| 256|     50000|       1|0.47069882|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.00000000|  FAILED  
        dab_filltree|  32|  15000000|       1|0.00000000|  FAILED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.34881665|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.37119875|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.44252533|  PASSED  
Preparing to run test 210.  ntuple = 0
