#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
         hc-128|  1.53e+08  |4199223875|    153496  |      99596  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.55344320|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.62302918|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.48573128|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.89456847|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.73541898|  PASSED  
        diehard_opso|   0|   2097152|     100|0.48418003|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.28086653|  PASSED  
         diehard_dna|   0|   2097152|     100|0.35655733|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.85771638|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.89249175|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.70977074|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.73359524|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.36069907|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.67313379|  PASSED  
        diehard_sums|   0|       100|     100|0.01190627|  PASSED  
        diehard_runs|   0|    100000|     100|0.14542135|  PASSED  
        diehard_runs|   0|    100000|     100|0.56240640|  PASSED  
       diehard_craps|   0|    200000|     100|0.83721798|  PASSED  
       diehard_craps|   0|    200000|     100|0.91076533|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.19126614|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.76511873|  PASSED  
         sts_monobit|   1|    100000|     100|0.40303151|  PASSED  
            sts_runs|   2|    100000|     100|0.06479900|  PASSED  
          sts_serial|   1|    100000|     100|0.09514378|  PASSED  
          sts_serial|   2|    100000|     100|0.94658824|  PASSED  
          sts_serial|   3|    100000|     100|0.74895150|  PASSED  
          sts_serial|   3|    100000|     100|0.04307770|  PASSED  
          sts_serial|   4|    100000|     100|0.38897629|  PASSED  
          sts_serial|   4|    100000|     100|0.57746011|  PASSED  
          sts_serial|   5|    100000|     100|0.37163628|  PASSED  
          sts_serial|   5|    100000|     100|0.28962585|  PASSED  
          sts_serial|   6|    100000|     100|0.98910692|  PASSED  
          sts_serial|   6|    100000|     100|0.99348910|  PASSED  
          sts_serial|   7|    100000|     100|0.54650211|  PASSED  
          sts_serial|   7|    100000|     100|0.76614447|  PASSED  
          sts_serial|   8|    100000|     100|0.24698127|  PASSED  
          sts_serial|   8|    100000|     100|0.75342478|  PASSED  
          sts_serial|   9|    100000|     100|0.33970308|  PASSED  
          sts_serial|   9|    100000|     100|0.44257580|  PASSED  
          sts_serial|  10|    100000|     100|0.51150698|  PASSED  
          sts_serial|  10|    100000|     100|0.19654860|  PASSED  
          sts_serial|  11|    100000|     100|0.37074893|  PASSED  
          sts_serial|  11|    100000|     100|0.66326264|  PASSED  
          sts_serial|  12|    100000|     100|0.92552582|  PASSED  
          sts_serial|  12|    100000|     100|0.92062985|  PASSED  
          sts_serial|  13|    100000|     100|0.62582007|  PASSED  
          sts_serial|  13|    100000|     100|0.88302301|  PASSED  
          sts_serial|  14|    100000|     100|0.48371577|  PASSED  
          sts_serial|  14|    100000|     100|0.77093504|  PASSED  
