#=============================================================================#
#            dieharder version 3.31.2 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
   xoroshiro64*|  2.54e+08  |3660286490|    254123  |     272197  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.57304767|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.59576382|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.24704435|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.41026035|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.29432142|  PASSED  
        diehard_opso|   0|   2097152|     100|0.18150534|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.98318145|  PASSED  
         diehard_dna|   0|   2097152|     100|0.82469374|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.91287265|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.84868735|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.71023270|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.19042474|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.01148637|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.57953331|  PASSED  
        diehard_sums|   0|       100|     100|0.09366424|  PASSED  
        diehard_runs|   0|    100000|     100|0.93822451|  PASSED  
        diehard_runs|   0|    100000|     100|0.17352381|  PASSED  
       diehard_craps|   0|    200000|     100|0.75700658|  PASSED  
       diehard_craps|   0|    200000|     100|0.87549014|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.99100184|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.83861675|  PASSED  
         sts_monobit|   1|    100000|     100|0.63829131|  PASSED  
            sts_runs|   2|    100000|     100|0.38269436|  PASSED  
          sts_serial|   1|    100000|     100|0.19212315|  PASSED  
          sts_serial|   2|    100000|     100|0.91829222|  PASSED  
          sts_serial|   3|    100000|     100|0.18632685|  PASSED  
          sts_serial|   3|    100000|     100|0.28907204|  PASSED  
          sts_serial|   4|    100000|     100|0.89048423|  PASSED  
          sts_serial|   4|    100000|     100|0.34579154|  PASSED  
          sts_serial|   5|    100000|     100|0.56375675|  PASSED  
          sts_serial|   5|    100000|     100|0.89929348|  PASSED  
          sts_serial|   6|    100000|     100|0.63713352|  PASSED  
          sts_serial|   6|    100000|     100|0.96654944|  PASSED  
          sts_serial|   7|    100000|     100|0.44317200|  PASSED  
          sts_serial|   7|    100000|     100|0.95602935|  PASSED  
          sts_serial|   8|    100000|     100|0.72605160|  PASSED  
          sts_serial|   8|    100000|     100|0.51200369|  PASSED  
          sts_serial|   9|    100000|     100|0.17244169|  PASSED  
          sts_serial|   9|    100000|     100|0.19377986|  PASSED  
          sts_serial|  10|    100000|     100|0.24566395|  PASSED  
          sts_serial|  10|    100000|     100|0.93297596|  PASSED  
          sts_serial|  11|    100000|     100|0.78836878|  PASSED  
          sts_serial|  11|    100000|     100|0.46259815|  PASSED  
          sts_serial|  12|    100000|     100|0.64884733|  PASSED  
          sts_serial|  12|    100000|     100|0.65605418|  PASSED  
          sts_serial|  13|    100000|     100|0.07604847|  PASSED  
          sts_serial|  13|    100000|     100|0.45866912|  PASSED  
          sts_serial|  14|    100000|     100|0.65522959|  PASSED  
          sts_serial|  14|    100000|     100|0.26948960|  PASSED  
          sts_serial|  15|    100000|     100|0.73144813|  PASSED  
          sts_serial|  15|    100000|     100|0.60069402|  PASSED  
