34 rounds
#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
      speck-128|  7.30e+07  |2460007944|     72961  |      71054  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.91109885|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.54600466|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.60254949|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.91323178|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.79204687|  PASSED  
        diehard_opso|   0|   2097152|     100|0.69079958|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.96720097|  PASSED  
         diehard_dna|   0|   2097152|     100|0.07323747|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.08898137|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.64915783|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.63285114|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.62546427|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.00221887|   WEAK   
    diehard_3dsphere|   3|      4000|     200|0.14514135|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.29486821|  PASSED  
        diehard_sums|   0|       100|     100|0.58296672|  PASSED  
        diehard_runs|   0|    100000|     100|0.51787053|  PASSED  
        diehard_runs|   0|    100000|     100|0.24122469|  PASSED  
       diehard_craps|   0|    200000|     100|0.76631686|  PASSED  
       diehard_craps|   0|    200000|     100|0.28350752|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.95264186|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.27029658|  PASSED  
         sts_monobit|   1|    100000|     100|0.43065672|  PASSED  
            sts_runs|   2|    100000|     100|0.54543236|  PASSED  
          sts_serial|   1|    100000|     100|0.48521984|  PASSED  
          sts_serial|   2|    100000|     100|0.49342433|  PASSED  
          sts_serial|   3|    100000|     100|0.34880217|  PASSED  
          sts_serial|   3|    100000|     100|0.74568746|  PASSED  
          sts_serial|   4|    100000|     100|0.18244215|  PASSED  
          sts_serial|   4|    100000|     100|0.37261184|  PASSED  
          sts_serial|   5|    100000|     100|0.18346474|  PASSED  
          sts_serial|   5|    100000|     100|0.13329929|  PASSED  
          sts_serial|   6|    100000|     100|0.01784288|  PASSED  
          sts_serial|   6|    100000|     100|0.16485457|  PASSED  
          sts_serial|   7|    100000|     100|0.12697687|  PASSED  
          sts_serial|   7|    100000|     100|0.47104114|  PASSED  
          sts_serial|   8|    100000|     100|0.20774156|  PASSED  
          sts_serial|   8|    100000|     100|0.59340227|  PASSED  
          sts_serial|   9|    100000|     100|0.96437806|  PASSED  
          sts_serial|   9|    100000|     100|0.47351764|  PASSED  
          sts_serial|  10|    100000|     100|0.70891624|  PASSED  
          sts_serial|  10|    100000|     100|0.75072885|  PASSED  
          sts_serial|  11|    100000|     100|0.92160851|  PASSED  
          sts_serial|  11|    100000|     100|0.97443570|  PASSED  
          sts_serial|  12|    100000|     100|0.91278419|  PASSED  
          sts_serial|  12|    100000|     100|0.57371443|  PASSED  
          sts_serial|  13|    100000|     100|0.58325700|  PASSED  
          sts_serial|  13|    100000|     100|0.32305111|  PASSED  
          sts_serial|  14|    100000|     100|0.39032139|  PASSED  
          sts_serial|  14|    100000|     100|0.79101468|  PASSED  
          sts_serial|  15|    100000|     100|0.27582066|  PASSED  
          sts_serial|  15|    100000|     100|0.86452944|  PASSED  
          sts_serial|  16|    100000|     100|0.02637119|  PASSED  
          sts_serial|  16|    100000|     100|0.03745784|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.73389781|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.99505186|   WEAK   
         rgb_bitdist|   2|    100000|     200|0.91758970|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.89683174|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.52949967|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.63136439|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.55382351|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.05354562|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.21528131|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.40239771|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.99834035|   WEAK   
         rgb_bitdist|  10|    100000|     200|0.75719578|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.96634033|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.99406941|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.67840566|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.15369295|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.70041942|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.11412502|  PASSED  
    rgb_permutations|   2|    100000|     100|0.56958732|  PASSED  
    rgb_permutations|   3|    100000|     100|0.03328518|  PASSED  
    rgb_permutations|   4|    100000|     100|0.09007815|  PASSED  
    rgb_permutations|   5|    100000|     100|0.79665347|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.54584265|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.76750999|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.85157870|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.56616662|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.66925716|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.48271855|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.73344703|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.27295304|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.37745781|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.99005234|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.98325713|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.91148925|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.65517868|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.04059581|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.26665271|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.55150959|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.94696022|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.28496360|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.46807462|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.97330429|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.68850144|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.69224765|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.14854261|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.96708960|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.11497296|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.81212230|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.63733349|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.03323569|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.31221225|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.58060632|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.21365420|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.96552951|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.89472941|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.76238675|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.29142662|  PASSED  
             dab_dct| 256|     50000|       1|0.44991222|  PASSED  
Preparing to run test 207.  ntuple = 0
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.94065335|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.10416399|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.23096714|  PASSED  
Preparing to run test 210.  ntuple = 0
