#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
        AES_OFB|  4.18e+07  |2462126199|     41845  |      43167  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.97605030|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.93665714|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.74981108|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.02327310|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.90689184|  PASSED  
        diehard_opso|   0|   2097152|     100|0.37239493|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.07275849|  PASSED  
         diehard_dna|   0|   2097152|     100|0.58876423|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.22852969|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.76475310|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.81757364|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.64477878|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.51283596|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.62473841|  PASSED  
        diehard_sums|   0|       100|     100|0.08055750|  PASSED  
        diehard_runs|   0|    100000|     100|0.65863145|  PASSED  
        diehard_runs|   0|    100000|     100|0.33830659|  PASSED  
       diehard_craps|   0|    200000|     100|0.97754476|  PASSED  
       diehard_craps|   0|    200000|     100|0.99431168|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.19521224|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.15341333|  PASSED  
         sts_monobit|   1|    100000|     100|0.46232208|  PASSED  
            sts_runs|   2|    100000|     100|0.29040275|  PASSED  
          sts_serial|   1|    100000|     100|0.74210906|  PASSED  
          sts_serial|   2|    100000|     100|0.28609727|  PASSED  
          sts_serial|   3|    100000|     100|0.66709271|  PASSED  
          sts_serial|   3|    100000|     100|0.74056397|  PASSED  
          sts_serial|   4|    100000|     100|0.84553189|  PASSED  
          sts_serial|   4|    100000|     100|0.63073187|  PASSED  
          sts_serial|   5|    100000|     100|0.78014361|  PASSED  
          sts_serial|   5|    100000|     100|0.78569218|  PASSED  
          sts_serial|   6|    100000|     100|0.27542912|  PASSED  
          sts_serial|   6|    100000|     100|0.47764959|  PASSED  
          sts_serial|   7|    100000|     100|0.15133885|  PASSED  
          sts_serial|   7|    100000|     100|0.33246613|  PASSED  
          sts_serial|   8|    100000|     100|0.36049067|  PASSED  
          sts_serial|   8|    100000|     100|0.82806728|  PASSED  
          sts_serial|   9|    100000|     100|0.02403937|  PASSED  
          sts_serial|   9|    100000|     100|0.03263923|  PASSED  
